                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.95707,                0.88867,                 1.1074,                  0.843,                 0.7574,                0.84008,                0.66869,                0.84359,                0.65157,                0.98178,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.91845,                0.83095,                 1.0738,                0.84119,                0.76068,                  0.842,                0.67498,                0.83432,                0.64403,                0.97831,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.93835,                0.87257,                 1.1115,                0.83171,                0.77308,                 0.8486,                0.68261,                0.82901,                0.63577,                 0.9753,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.92683,                0.82891,                 1.0903,                0.84274,                   0.76,                 0.8466,                0.68147,                0.82425,                0.62926,                0.97229,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 0.9263,                0.83182,                 1.0929,                0.81709,                0.78146,                0.84744,                0.68306,                0.82292,                0.62675,                0.97002,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90136,                0.82244,                  1.087,                0.81181,                0.78927,                 0.8515,                0.68462,                0.82031,                0.62215,                0.96904,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.92772,                0.80331,                 1.0703,                0.82865,                 0.7796,                 0.8508,                0.68905,                0.81951,                0.61372,                0.96852,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92128,                0.82344,                  1.073,                0.81361,                0.79227,                0.85271,                0.69342,                0.81689,                0.60915,                0.96741,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90243,                0.79253,                 1.0662,                0.82873,                0.79462,                 0.8522,                0.69347,                0.80939,                0.60609,                0.96394,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.86805,                0.78014,                 1.0535,                0.85976,                0.77913,                0.85341,                0.69539,                0.80161,                0.60561,                0.96075,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92576,                0.81712,                 1.0561,                0.87793,                0.77233,                0.86217,                0.70506,                0.79781,                0.60306,                0.95911,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.89618,                0.80093,                 1.0742,                0.88273,                0.77211,                0.86176,                0.70704,                0.79449,                0.59851,                0.95802,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91463,                0.77856,                 1.0522,                0.89673,                0.77416,                0.86443,                 0.7085,                0.79194,                0.59503,                0.95615,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 0.8878,                0.77949,                 1.0665,                0.88602,                0.78627,                0.86608,                0.71291,                0.78966,                  0.591,                0.95411,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88529,                0.78504,                 1.0628,                0.88359,                0.78836,                 0.8669,                0.71466,                0.78908,                0.58883,                0.95255,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.90942,                0.78712,                  1.057,                0.89167,                0.78035,                 0.8632,                0.71167,                0.78803,                0.58759,                0.95059,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91161,                0.81109,                 1.0668,                0.81089,                0.83896,                0.87108,                0.71009,                0.78803,                0.58472,                0.95037,             6.3629e-05,             6.3629e-05,             6.3629e-05
